Date,Weight (lbs) ,,
01/07/2019,180.06,,
02/07/2019,181,,
03/07/2019,181,,
04/07/2019,180,,
05/07/2019,179.6,,
06/07/2019,181.8,,
07/07/2019,181,,
,,,
week 1 average ,,180.64,0.58
,,,
08/07/2019,182.6,,
09/07/2019,182.7,,
10/07/2019,182.8,,
11/07/2019,181.6,,
12/07/2019,182,,
13/07/2019,182.4,,
14/07/2019,183.4,,
,,,
week 2 average,,182.5,1.86
,,,
15/07/2019,183.2,,
16/07/2019,183.4,,
17/07/2019,183,,
18/07/2019,183.8?,,
19/07/2019,184.6,,
20/07/2019,185,,
21/07/2019,184.4,,
,,,
week 3 average,,183.93,1.43
,,,
22/07/2019,185.6,,
23/07/2019,186,,
24/07/2019,184.6!,,
25/07/2019,185.2,,
26/07/2019,185.8,,
27/07/2019,186,,
28/06/2019,186.2,,
,,,
week 4 average,,185.63,1.7
,,,
29/07/2019,185.2,,
30/07/2019,185.6,,
31/07/2019,185.8,,
01/08/2019,188,,
02/08/2019,186.6,,
03/08/2019,187.4,,
04/08/2019,188.6?,,
,,,
week 5 average,,186.74,1.11
,,,
05/08/2019,186.4,,"clothes weigh a pound, might be reason for fluctuations"
06/08/2019,186.4,,
07/08/2019,186.4,,
08/08/2019,186.8,,
09/08/2019,188.2,,
10/08/2019,187.6,,
11/08/2019,188.4,,
,,,
week 6 average,,187.17,0.43
,,,
12/08/2019,186.8,,
13/08/2019,187.8,,
14/08/2019,187.6,,
15/08/2019,187.6,,
16/08/2019,187,,
17/08/2019,188.2,,
18/08/2019,188.8,,
,,,
week 7 average ,,187.69,0.52
,,,
19/08/2019,188.8,,
20/08/2019,187.6,,
21/08/2019,188.2,,
22/08/2019,188,,
23/08/2019,188.2,3500,
24/08/2019,187.6,,shit
25/08/2019,189.6??,,
,,,
week 8 average ,,188.29,0.6
,,,
26/08/2019,189,,
27/08/2019,190,,
28/08/2019,189.4,,
29/08/2019,189.8,,
30/08/2019,190,,
31/08/2019,189.2,,
01/09/2019,189.4,,
,,,
week 9 average,,189.54,1.25
,,,
02/09/2019,188.8,,
03/09/2019,191;,,
04/09/2019,192.8,,
05/09/2019,191.5,,
06/09/2019,190.6,,
07/09/2019,191,,
08/09/2019,191.4,,
,,,
week 10 average,,191,1.46
