Date ,Weight (lbs) ,
,,
09/09/2019,191.6,
10/09/2019,188.4,
11/09/2019,187.2,
12/09/2019,188.4,
13/09/2019,188.6,
14/09/2019,188.8,
15/09/2019,187.8,
,,
week 1 average ,188.69,-2.91
,,
16/09/2019,188,
17/09/2019,186.2,
18/09/2019,186.4,
19/09/2019,186,
20/09/2019,185.2,
21/09/2019,186.2,
22/09/2019,185.2,
,,
week 2 average,186.17,-2.52
,,
23/09/2019,185,
24/09/2019,185.2,
25/09/2019,184.4,
26/09/2019,183.8,
27/09/2019,183,
28/09/2019,182.8,
29/09/2019,182.8,
,,
week 3 average,183.86,-2.31
,,
30/09/2019,184,
01/10/2019,184,
02/09/2019,182.4,
03/09/2019,182.6,
04/09/2019,183.4,
05/09/2019,184,
06/09/2019,183.4,
,,
week 4 average ,183.4,-0.46
