Date,Weight (lbs),Change(lbs),Rate of Loss(%)
,,,
23/12/2019,188.2,,
24/12/2019,188.6,,
25/12/2019,187.2,,
26/12/2019,187.6,,
27/12/2018,187.6,,
28/12/2019,188.2,,
29/12/2019,186.6,,
,,,
Week 1 ,187.71,-0.49,0.20%
,,,
30/12/2019,185.6,,
31/12/2019,185.4,,
01/01/2020,185.6,,
02/01/2020,185,,
03/01/2020,185,,
04/01/2020,185.6,,
05/01/2020,184.6,💩,
,,,
Week 2,185.26,-2.45,1.30%
,,,
06/01/2020,184.4,,
07/01/2020,184.6,,
08/01/2020,184.2,,
09/01/2020,184.4,,
10/01/2020,183.4,,
11/01/2020,184.4,,
12/01/2020,182.8,,
,,,
Week 3,184.03,-1.23,0.66%
,,,
13/01/2020,182.4,,
14/01/2020,183.2,,
15/01/2020,181.2,,
16/01/2020,182,,
17/01/2020,181,,
18/01/2020,181,,
19/01/2020,180.8,,
,,,
Week 4 ,182.4,-1.63,0.89%
,,,
20/01/2020,180,,
21/01/2020,180,,
22/01/2020,180,,
23/01/2020,180,,
24/01/2020,179,?,
25/01/2020,179.6,,
26/01/2020,179.8,,
,,,
Week 5,179.77,-2.63,1.44%
,,,
27/01/2020,178.2,?,
28/01/2020,178.8,,
29/01/2020,177.4,,
30/01/2020,177.4,,
31/01/2020,177.8,,
01/02/2020,176.8,,
02/02/2020,,,
,,,
Week 6,177.73,-2.04,1.13%
,,,
03/02/2020,177.4,,
04/02/2020,177. 4,,
05/02/2020,,,
06/02/2020,177.4,,
07/02/2020,176.6,,
08/02/2020,176,,
09/02/2020,175.4,,
,,,
Week 7,176.56,-1.17,0.65%
,,,
10/02/2020,175.4,,
11/02/2020,175.6,,
12/02/2020,175.2,,
13/02/2020,174.6,,
14/02/2020,174,,
15/02/2020,173.8,,
16/02/2020,173.8,,
,,,
Week 8,174.63,-1.93,1.09
,,,
17/02/2020,173.4,,
18/02/2020,173.6,,
19/02/2020,173.8,,
20/02/2020,173,,
21/02/2020,173,,
22/02/2020,172.6,,
23/02/2020,171.6,,
,,,
Week 9,173,-1.63,-0.93340205
,,,
24/02/2020,172.6,,
25/02/2020,171.8,,
26/02/2020,170.6,,
27/02/2020,171.4,,
28/02/2020,172,,
29/02/2020,171.6,,
01/03/2020,,,
,,,
Week 10,171.67,-1.33,-0.768786127
,,,
02/03/2020,170.4,,
03/03/2020,171.6,,
04/03/2020,169.8,,
05/03/2020,169.2,,
06/03/2020,168.8,,
07/03/2020,170.2,,
08/03/2020,168.8,,
,,,
Week 11,169.83,-1.84,-1.071823848
,,,
09/03/2020,168,,
10/03/2020,167,,
11/03/2020,168,,
12/03/2020,167,,
13/03/2020,166.8,,
14/03/2020,166.2,,
15/03/2020,167.8,,
,,,
week 12,167.26,-2.57,-1.513277984
,,,
16/03/2020,167.4,,
17/03/2020,168,,
18/03/2020,167.8,,
19/03/2020,166.6,,
20/03/2020,165.2,,
21/03/2020,166,,
22/03/2020,165.4,,
,,,
week 13,166.63,-0.63,-0.376659094
,,,
23/03/2020,165,,
24/03/2020,165,,
25/03/2020,163.8,,
26/02/2020,163.8,,
27/03/2020,163,,
28/03/2020,163.6,,
29/03/2020,164.6,,
,,,
Week 14,164.11,,
,,,
30/03/2020,163.6,-3.03,-1.818400048
