Date,Weight (lbs),Change(lbs),Rate of Loss(%)
,,,
30/3/20,163.6,,
31/3/20,164,,
1/4/20,164,,
2/4/20,164,,
3/4/20,163.6,,
4/4/20,163.8,,
5/4/20,163,,
,,,
Week 1,163.71,0.11,0.06723716381
,,,
6/4/20,163,,
7/4/20,163.8,,
8/4/20,163.8,,
9/4/20,163.6,,
10/4/20,164,,
11/4/20,163.6,,
12/4/20,,,
,,,
Week 2,163.63,,
,,,
13/4/20,163.6,-0.11,
14/4/20,163,,
15/4/20,,,
16/4/20,163.4,,
17/4/20,163,,
18/4/20,163,,
19/4/20,162.8,,
,,,
Week 3,163.13,-0.47,
,,,
20/4/20,164.2,,
21/4/20,163.8,,
22/4/20,163.4,,
23/4/20,163.8,,
24/4/20,162.6,💩,
25/4/20,162.6,,
26/4/20,162.8,,
,,,
Week 4,163.31,,
,,,
27/4/20,162.6,,
28/4/20,162.6,,
29/4/20,163.6,,
30/4/20,162.2,,
1/5/20,162.2,,
2/5/20,163.4,,
3/5/20,,,
,,,
week 5,162.77,,
,,,
4/5/20,163.4,,
5/5/20,161.8,,
6/5/20,163,,
7/5/20,162.4,,
8/5/20,161.8,,
9/5/20,163.4,,
10/5/20,163,,
